Alloy,State,Density,Structure,T,E,Yield_Strength,Yield,Peak_Stress,Peak_strain,Fracture_Strength,Fracture_Strain,Compression_Yield_Strength,Compression_Strain,Strain,Vickers_hardness ,Wear_Resistance,fafabrication,题录
AlCoCrCuFeNi,,, FCC + BCC,,,,,,,,,,,,416,,,"Alloying behavior of iron, gold and silver in AlCoCrCuNi-basedequimolar high-entropy alloys"
Golden layer of AgAlCoCrCuNi,,,Ag  + FCC,,,,,,,,,,,,104,,,"Alloying behavior of iron, gold and silver in AlCoCrCuNi-basedequimolar high-entropy alloys"
Silver layer of AgAlCoCrCuNi,,,BCC + Ag + FCC,,,,,,,,,,,,451,,,"Alloying behavior of iron, gold and silver in AlCoCrCuNi-basedequimolar high-entropy alloys"
AlAuCoCrCuNi,,,FCC + AuCu,,,,,,,,,,,,276,,,"Alloying behavior of iron, gold and silver in AlCoCrCuNi-basedequimolar high-entropy alloys"
TiVCrZrHf,,,Amorphous,,,,,,,,,,,,,,,[17]
TiVCrAlZr,,,Amorphous,,,,,,,,,,,,,,,[18]
TiCrZrNb,,,Amorphous,,,,,,,,,,,,,,,[19]
AlCrNiSiTi,,,Amorphous,,,,,,,,,,,,,,,[20]
AlCrMoTaTiZr,,,Amorphous,,,,,,,,,,,,,,,[21]
TiVCrAlSi,,,Amorphous,,,,,,,,,,,,,,,[22]
AlCrTaTiZr,,,Amorphous,,,,,,,,,,,,,,,[23]
NbSiTaTiZr,,,Amorphous,,,,,,,,,,,,,,,[24]
AlCoCrCu0.5FeNi,,,Amorphous,,,,,,,,,,,,,,,[25]
AlCrMoSiTi,,,Amorphous,,,,,,,,,,,,,,,[26]
AlBCrSiTi,,,Amorphous,,,,,,,,,,,,,,,[27]
FeCoNiZrCuAlV,,,Amorphous,,,,,,,,,,,,,,,[28]
AlCrZrSiTi,,,Amorphous,,,,,,,,,,,,,,,[29]
TiZrNbHfTa,,,FCC,,,,,,,,,,,,,,,[19]
Al0.5CoCrCuFeNi,,,FCC,,,,,,,,,,,,,,,[19]
Al2CoCrCuFeNi,,,FCC + BCC,,,,,,,,,,,,,,,[30]
Ta-Nb-Ti-W,,,BCC,,,,,,,,,,,,,,,[30]
Ta-Nb-Ti-W,,,BCC,,,,,,,,,,,,,,,[30]
Ta-Nb-Ti-W,,,BCC,,,,,,,,,,,,,,,[30]
Ta-Nb-Ti-W,,,BCC,,,,,,,,,,,,,,,[30]
Ta-Nb-Ti-W,,,BCC,,,,,,,,,,,,,,,[30]
Ta-Nb-Ti-W,,,BCC,,,,,,,,,,,,,,,[30]
Ta-Nb-Ti-W,,,BCC,,,,,,,,,,,,,,,[31]
FeCoNiCrCuAlMn,,,FCC + BCC,,,,,,,,,,,,,,,[32]
CoCrFeNiCu,,,FCC,,,,,,,,,,,,,,,[33]
CoCrFeNiCuAl2.5,,,BCC,,,,,,,,,,,,,,,
Al0(TiVCrMnFeCoNiCu)100,,,FCC + BCC + σ + Amorphous,25,74.247,1312,,,,,,1312,,0,,,,Microstructure and compressive properties of multicomponentAlx(TiVCrMnFeCoNiCu)100−xhigh-entropy alloys
Al11.1(TiVCrMnFeCoNiCu)88.9,,,FCC + BCC,25,164.087,1862,,,,,,2431,,95.00%,,,,Microstructure and compressive properties of multicomponentAlx(TiVCrMnFeCoNiCu)100−xhigh-entropy alloys
Al20(TiVCrMnFeCoNiCu)80,,,BCC,25,190.086,1465,,,,,,2016,,235.00%,,,,Microstructure and compressive properties of multicomponentAlx(TiVCrMnFeCoNiCu)100−xhigh-entropy alloys
Al40(TiVCrMnFeCoNiCu)60,,,BCC + Al3Ti + Intermetalic,25,163.208,1461,,,,,,1461,,0,,,,Microstructure and compressive properties of multicomponentAlx(TiVCrMnFeCoNiCu)100−xhigh-entropy alloys
AlCrFeCoNi,,,,25,,1250.96,,,,,,2004.23,,3270.00%,,,,Microstructure and compressive properties of AlCrFeCoNihigh entropy alloy
CrFeCoNiCuTi,,,,25,,1272,,,,,,1272,,160.00%,,,,Microstructure and compressive properties of AlCrFeCoNihigh entropy alloy
AlCrMnFeCoNiCuTiV,,,,25,,1862,,,,,,2431,,95.00%,,,,Microstructure and compressive properties of AlCrFeCoNihigh entropy alloy
CrFeCoNiCuTi0.5,,,,25,,700,,,,,,1650,,2126.00%,,,,Microstructure and compressive properties of AlCrFeCoNihigh entropy alloy
Cu–Ni–Co–Zn–Al–Ti,,,BCC,,,,,,,,,,,,,,MA,Synthesis and characterization of nanocrystalline AlFeTiCrZnCuhigh entropy solid solution by mechanical alloying
Al–Fe–Ti–Cr–Zn–Cu,,,BCC,,,,,,,,,,,,,,MA,Synthesis and characterization of nanocrystalline AlFeTiCrZnCuhigh entropy solid solution by mechanical alloying
 NiFeCrCoMnW ,,,,,,,,,,,,,,,,,MA,Synthesis and characterization of nanocrystalline AlFeTiCrZnCuhigh entropy solid solution by mechanical alloying
AlMoNbSiTaTiVZr ,,,,,,,,,,,,,,,,,,Diffusion barrier properties of AlMoNbSiTaTiVZr high-entropy alloy layerbetween copper and silicon
AlTiNiMnB0.1,,5.13593,BCC,,,,,,,,,,,,741.84,,arc,Microstructure and properties of AlTiNiMnBxhigh entropy alloys
AlTiNiMnB0.2,,5.47874,BCC,,,,,,,,,,,,758.896,,arc,Microstructure and properties of AlTiNiMnBxhigh entropy alloys
AlTiNiMnB0.4,,5.4982,BCC,,,,,,,,,,,,763.436,,arc,Microstructure and properties of AlTiNiMnBxhigh entropy alloys
AlTiNiMnB0.5,,5.56707,BCC,,,,,,,,,,,,778.896,,arc,Microstructure and properties of AlTiNiMnBxhigh entropy alloys
Ti0.5CrFeNiAlCo1,,,,,,,,,,,2330.00%,3140,,,,,arc,Effect of Co addition on crystal structure and mechanical propertiesof Ti0.5CrFeNiAlCo high entropy alloy
Ti0.5CrFeNiAlCo1.5,,,,,,,,,,,,,,,,,arc,Effect of Co addition on crystal structure and mechanical propertiesof Ti0.5CrFeNiAlCo high entropy alloy
Ti0.5CrFeNiAlCo2,,,,,,,,,,,1550.00%,2890,,,,,arc,Effect of Co addition on crystal structure and mechanical propertiesof Ti0.5CrFeNiAlCo high entropy alloy
Ti0.5CrFeNiAlCo3,,,,,,,,,,,,,,,,,arc,Effect of Co addition on crystal structure and mechanical propertiesof Ti0.5CrFeNiAlCo high entropy alloy
AlCrFeCoNiCu,,,FCC + BCC,,,1303,,,,,,2081,,2400%,,,,"Effects of Mn, Ti and V on the microstructure and properties ofAlCrFeCoNiCu high entropy alloy"
AlCrFeCoNiCuMn,,,FCC + BCC + Unknown,,,1005,,,,,,1480,,1500%,,,,"Effects of Mn, Ti and V on the microstructure and properties ofAlCrFeCoNiCu high entropy alloy"
AlCrFeCoNiCuTi,,,FCC + BCC1 + BCC2,,,1234,,,,,,1356,,900%,,,,"Effects of Mn, Ti and V on the microstructure and properties ofAlCrFeCoNiCu high entropy alloy"
AlCrFeCoNiCuV,,,FCC + BCC,,,1469,,,,,,1970,,1600%,,,,"Effects of Mn, Ti and V on the microstructure and properties ofAlCrFeCoNiCu high entropy alloy"
AlCr2CoFeNi,,,B2 + L12,,,,,,,,,,,,,,,B 2 structure of high-entropy alloys with addition of Al
AlCrCoFeNi,,,B2 + L12,,,,,,,,,,,,,,,B 2 structure of high-entropy alloys with addition of Al
Al1.5CrCoFeNi,,,B2,,,,,,,,,,,,,,,B 2 structure of high-entropy alloys with addition of Al
Al2CrCoFeNi,,,B2,,,,,,,,,,,,,,,B 2 structure of high-entropy alloys with addition of Al
Al2.5CrCoFeNi,,,B2,,,,,,,,,,,,,,,B 2 structure of high-entropy alloys with addition of Al
Al3CrCoFeNi,,,B2,,,,,,,,,,,,,,,B 2 structure of high-entropy alloys with addition of Al
FeNiCrCuCo,,,FCC,,,,,,,,,,,,286,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuMo,,,FCC,,,,,,,,,,,,263,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuAl,,,FCC + BCC,,,,,,,,,,,,342,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuMn,,,FCC + BCC,,,,,,,,,,,,296,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl,,,BCC,,,,,,,,,,,,395,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl1.5,,,BCC,,,,,,,,,,,,402,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl2,,,BCC,,,,,,,,,,,,432,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl2.5,,,BCC,,,,,,,,,,,,487,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl3,,,BCC,,,,,,,,,,,,506,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuZr,,,BCC + compounds,,,,,,,,,,,,566,,,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
